lemma,frequency
alice,21
beginning,1
get,10
tired,1
sit,1
sister,2
bank,1
nothing,5
twice,1
peep,1
book,3
read,2
picture,3
conversation,2
use,3
think,15
without,2
consider,2
mind,2
well,6
could,6
hot,2
day,1
make,4
feel,2
sleepy,2
stupid,1
whether,2
pleasure,1
daisy,2
chain,1
would,8
worth,1
trouble,1
getting,1
pick,1
suddenly,5
white,2
rabbit,8
pink,1
eye,1
run,2
close,2
remarkable,1
much,5
way,5
hear,2
say,11
oh,4
dear,3
shall,5
late,2
thought,1
afterwards,1
occur,1
ought,1
wonder,6
time,8
seem,4
quite,1
natural,1
actually,1
take,3
watch,2
waistcoat,2
pocket,2
look,7
hurried,1
start,1
foot,2
flash,1
across,2
never,5
see,12
either,5
burn,3
curiosity,1
field,1
pop,1
large,4
hole,3
hedge,1
another,3
moment,4
go,9
world,1
straight,1
like,6
tunnel,1
dip,1
stop,1
find,6
fall,10
deep,2
slowly,1
plenty,1
happen,2
next,1
first,3
try,4
come,6
dark,3
anything,2
side,2
notice,2
fill,1
cupboard,2
bookshelf,1
map,1
hang,2
upon,4
peg,1
jar,2
one,6
shelf,1
passed,1
label,2
orange,1
marmalade,1
great,2
disappointment,1
empty,1
drop,1
fearof,1
kill,1
somebody,1
underneath,1
manage,2
put,2
past,1
tumble,1
downstairs,1
brave,1
they,2
ll,4
home,1
not,4
even,3
top,1
house,1
likely,1
true,1
end,1
many,2
mile,2
I,3
ve,2
aloud,1
must,1
somewhere,2
near,1
centre,1
earth,2
let,1
four,1
thousand,1
…,4
learn,1
several,2
thing,4
sort,3
lesson,1
schoolroom,1
though,1
good,2
opportunity,1
show,1
knowledge,1
listen,1
still,2
practice,1
yes,1
that,2
s,2
right,3
distance,1
–,6
latitude,2
longitude,2
slight,1
idea,2
nice,3
grand,1
word,3
presently,1
begin,6
funny,1
it,2
among,2
people,2
walk,3
head,3
downwards,1
antipathy,1
rather,2
glad,1
listening,1
do,2
sound,1
but,1
ask,3
name,1
country,1
know,3
please,1
maam,1
new,1
zealand,1
australia,1
curtsey,1
speak,1
fancy,1
curtseying,1
you,1
re,1
air,2
ignorant,1
little,9
girl,1
shell,1
perhaps,1
write,1
else,1
soon,3
talk,1
dinahll,1
miss,1
tonighti,1
dinah,4
cat,5
hope,2
remember,2
saucer,1
milk,1
teatime,1
wish,2
mice,1
m,1
afraid,1
might,3
catch,1
bat,6
mouse,1
eat,6
dreamy,1
sometimes,1
answer,1
question,1
matter,1
doze,1
dream,1
hand,2
earnestly,1
tell,1
truth,1
ever,3
thump,2
heap,1
stick,1
dry,1
leave,1
bit,1
hurt,1
jump,1
overhead,1
long,5
passage,3
sight,1
hurrying,1
lose,1
away,1
wind,1
turn,2
corner,2
ear,1
whisker,1
behind,2
low,2
hall,4
light,1
row,1
lamp,1
roof,1
door,6
round,3
lock,3
every,1
sadly,1
middle,1
wondering,1
threelegge,1
table,2
solid,1
glass,1
tiny,1
golden,2
key,4
belong,1
ofthe,1
alas,1
small,2
rate,2
open,2
however,2
second,1
curtain,1
fifteen,1
inch,1
high,1
delight,1
fit,1
lead,1
rat,1
knelt,1
along,1
lovely,1
garden,1
wander,1
bed,1
bright,1
flower,1
cool,1
fountain,1
doorway,1
poor,1
shoulder,1
shut,2
telescope,2
outoftheway,1
lately,1
indeed,1
really,1
impossible,1
wait,1
back,1
half,1
rule,2
bottle,4
whichcertainly,1
tie,1
neck,1
paper,1
drink,3
beautifully,1
print,1
letter,1
wise,1
hurry,1
ill,1
mark,3
poison,3
story,1
child,1
wild,1
beast,1
unpleasant,1
simple,1
friend,1
teach,1
redhot,1
poker,1
hold,1
cut,1
finger,1
deeply,1
knife,1
usually,1
bleeds,1
forget,1
almost,1
certain,1
disagree,1
later,1
venture,1
taste,1
fact,1
mixed,1
flavour,1
cherry,1
tart,1
custard,1
pineapple,1
roast,1
turkey,1
toffee,1
butter,1
toast,1
finish,1
